Block Length,Entropy Plain Text,Entropy Cipher Text,CCMP Entropy MIC,CCMP Encryption Time,CCMP Encryption RAM,CCMP Encryption CPU,CCMP Decryption Time,CCMP Decryption RAM,CCMP Decryption CPU,GCMP Entropy MIC,GCMP Encryption Time,GCMP Encryption RAM,GCMP Encryption CPU,GCMP Decryption Time,GCMP Decryption RAM,GCMP Decryption CPU
13,4.115787794108538,6.996868872853859,4.0,2.6487709999999995,22.0390625,1.4064974009999998,6.126520999999999,22.0390625,30.363038075999995,4.0,1.3881009999999998,22.0390625,0.492813616,0.470242,22.0390625,2.1918114789999996
14,4.111948617670661,7.1171036163517325,4.0,2.794722,22.0390625,1.483997382,6.171643000000002,22.04296875,32.21597646000001,3.875,1.5829339999999996,22.04296875,0.460667904,0.423408,22.04296875,2.562770145999999
15,4.124767090640489,7.130592089725436,3.875,2.8547149999999983,22.046875,1.515853664999999,6.4301379999999995,22.046875,35.26287679199999,4.0,1.583626,22.046875,0.501724248,0.444791,22.046875,2.627235534
16,4.1763457644177295,7.184565874195406,4.0,2.9592739999999984,22.046875,1.5713744939999992,6.950849,22.05078125,39.953480052,4.0,1.498088,22.05078125,0.526118592,0.45044400000000007,22.05078125,2.545251512
17,4.1966378141666905,7.260367699305006,4.0,3.2479039999999992,22.0546875,1.7246370239999997,7.241331,22.0546875,43.534881972,3.75,1.5667350000000002,22.0546875,0.6338810879999999,0.524736,22.0546875,2.7245521650000004
18,4.198908957051319,7.294878366975288,3.875,3.2308770000000004,22.0546875,1.7155956870000002,7.364569,22.05859375,46.22003504400001,4.0,1.6064250000000002,22.0625,0.6840812159999999,0.5481419999999999,22.0625,2.8578300750000007
19,4.201054163707521,7.3079223822982184,4.0,3.7022769999999996,22.0625,1.9659090869999998,8.158800000000001,22.0625,53.358552,3.875,1.6183570000000003,22.06640625,0.647250912,0.502524,22.06640625,2.943791383
20,4.176267886130165,7.37534983653654,3.875,3.7314529999999992,22.07421875,1.9814015429999996,8.231472,22.07421875,56.006935488,3.875,1.6428710000000004,22.07421875,0.725704192,0.546464,22.07421875,3.0540971890000006
21,4.170155843157323,7.373833412613796,3.75,4.025981999999999,22.07421875,2.1377964419999995,8.820513,22.07421875,62.343385884,4.0,1.4654510000000005,22.07421875,0.739387584,0.540488,22.07421875,2.782891449000001
22,4.174305464377403,7.400144768562288,3.875,3.813713,22.07421875,2.025081603,8.897893999999997,22.078125,65.23935880799998,4.0,1.735722,22.078125,0.7819975679999999,0.5553959999999999,22.078125,3.365564958
23,4.159213967006104,7.456967400385455,4.0,4.271545000000001,22.08203125,2.2681903950000004,9.446642999999998,22.08984375,71.75670022799999,4.0,1.7260730000000009,22.09375,0.8231662800000001,0.5684850000000001,22.09375,3.4158984670000017
24,4.175692363736798,7.440029542433414,4.0,4.049163000000001,22.09765625,2.1501055530000004,9.409378999999998,22.09765625,73.95771893999998,4.0,1.6916650000000006,22.09765625,0.8581772160000001,0.576732,22.09765625,3.415471635000001
25,4.1727367483631355,7.465991018774437,3.75,4.1399089999999985,22.09765625,2.1982916789999996,9.614352,22.09765625,78.106995648,4.0,1.702209,22.09765625,0.86523764,0.566255,22.1015625,3.5048483310000003
26,4.162641033231114,7.463232288313364,3.875,4.6765009999999965,22.1015625,2.4832220309999977,17.944901,22.1015625,150.52182958800003,4.0,1.6717750000000002,22.1015625,1.00437456,0.640545,22.1015625,3.509055725
27,4.154475537020323,7.464652558359986,4.0,4.3071139999999986,22.109375,2.287077533999999,10.191077000000002,22.11328125,88.17319820400002,4.0,1.7737050000000005,22.11328125,1.0190780400000001,0.6337550000000001,22.11328125,3.7939549950000013
28,4.15046686422642,7.499522705351731,4.0,4.761778000000002,22.1171875,2.528504118000001,10.814494000000002,22.1171875,96.42202850400001,4.0,1.7592850000000002,22.1171875,0.986804272,0.598789,22.1171875,3.8334820150000004
29,4.163330647854119,7.551031996673101,4.0,5.136828999999999,22.12109375,2.7276561989999997,11.447545,22.12109375,105.0884631,3.875,1.6926630000000007,22.12109375,1.0102882560000002,0.598512,22.12109375,3.7560191970000014
30,4.202240015976499,7.58858301106296,4.0,4.814090000000001,22.125,2.5562817900000003,11.37218,22.12890625,107.39886792000001,4.0,1.8359500000000006,22.12890625,1.1643177599999999,0.6737949999999999,22.1328125,4.147411050000001
31,4.193636942537576,7.591691987482037,4.0,5.039737,22.1328125,2.6761003469999998,11.885697000000002,22.1328125,115.38634647600003,4.0,1.7500450000000005,22.13671875,1.1044360080000002,0.624681,22.140625,4.0233534550000005
32,4.185683252187969,7.614795369509928,3.875,4.884501,22.14453125,2.5936700310000003,11.81835,22.14453125,117.8525862,4.0,1.654323,22.14453125,1.148797776,0.6353970000000001,22.1484375,3.869461497
33,4.206270904467379,7.630549728289193,4.0,5.011855000000001,22.1484375,2.6612950050000004,12.288911000000002,22.15234375,125.78929299600003,4.0,1.8477959999999998,22.15234375,1.239283584,0.6706080000000001,22.15625,4.395906684
34,4.2220369263582604,7.658350886749242,4.0,5.271669999999999,22.15625,2.7992567699999995,12.599582,22.15625,132.295611,3.875,1.8206510000000011,22.15625,1.2882428160000001,0.6823320000000002,22.16015625,4.4041547690000025
35,4.2168496333142915,7.644678800091583,4.0,7.486186999999999,22.16015625,3.9826514839999994,15.26006,22.16015625,164.2745459,4.0,1.9134960000000003,22.16015625,1.3495595120000001,0.6999790000000001,22.16015625,4.705286664000001
36,4.213650887683286,7.650027512899204,4.0,5.453787000000001,22.16015625,2.8959608970000006,13.20011,22.1640625,145.57081308000002,4.0,2.248898,22.1640625,2.2794576479999997,1.1582609999999998,22.16796875,5.619996102
37,4.214509509787936,7.659887290939605,3.875,5.586675999999999,22.171875,2.9665249559999993,13.751522000000001,22.171875,155.28218642400003,3.875,1.811009,22.171875,1.619148792,0.8063490000000001,22.171875,4.598151851000001
38,4.21587780751252,7.69813099742657,4.0,5.898273000000001,22.17578125,3.131982963000001,13.980614000000005,22.1796875,161.55997538400004,3.75,1.869231,22.1796875,1.6190771199999998,0.790565,22.18359375,4.820746749
39,4.2188291164623966,7.692494059600724,4.0,6.489326000000002,22.18359375,3.452321432000001,14.803208000000005,22.18359375,174.98872176800006,4.0,1.8882930000000004,22.18359375,1.7361218880000002,0.8314760000000001,22.1875,4.945439367000001
40,4.228345681081581,7.704470310244728,4.0,5.786803000000001,22.1875,3.0727923930000003,16.149983000000002,22.1875,195.15639457200004,3.875,1.7857299999999996,22.1875,1.5417594079999999,0.7245109999999999,22.19140625,4.748256069999999
41,4.229901050283823,7.71764424411097,4.0,6.167386,22.19140625,3.2810493519999997,14.768629000000004,22.1953125,182.37779952100004,4.0,1.744139,22.1953125,1.6094711680000002,0.7423760000000001,22.19921875,4.707431161
42,4.229793030556393,7.726350500359522,4.0,6.193278000000003,22.203125,3.2948238960000014,15.013906000000004,22.20703125,189.37039637800004,4.0,2.1711070000000006,22.20703125,1.6790184000000004,0.7604250000000001,22.20703125,5.9466620730000015
43,4.229099369273065,7.728813475098051,3.875,6.299612000000001,22.2109375,3.351393584,15.340112000000005,22.2109375,197.53462222400006,4.0,1.9858590000000005,22.2109375,1.76927716,0.787045,22.2109375,5.518702161000001
44,4.232861570187843,7.741217287323586,4.0,6.5238380000000005,22.21484375,3.4706818160000004,16.13969700000001,22.21484375,212.0917582770001,4.0,2.128116000000001,22.21484375,1.8305258399999997,0.800055,22.21875,5.999159004000002
45,4.231369128188399,7.749547935037181,3.875,6.920825000000002,22.21875,3.681878900000001,17.037670000000006,22.22265625,228.38996635000007,4.0,2.0712160000000006,22.22265625,1.93667484,0.831905,22.2265625,5.921606544000002
46,4.221250294130115,7.752886282593666,3.875,7.906436000000003,22.2265625,4.206223952000001,18.459794,22.23046875,252.32692418599999,3.875,2.084493,22.23046875,1.9173909120000003,0.8097090000000001,22.234375,6.042945207000001
47,4.2315284250504295,7.761927981782199,4.0,7.108772,22.234375,3.781866704,16.861445000000007,22.234375,234.93051318500008,4.0,2.0958330000000003,22.234375,1.9704519519999997,0.8182939999999999,22.234375,6.159653187
48,4.228965015662015,7.761590924513016,4.0,7.276268000000001,22.23828125,3.8709745760000005,17.409678000000003,22.24609375,247.16519856600007,4.0,2.0628369999999996,22.24609375,2.0467728000000003,0.8361000000000001,22.24609375,6.145191422999999
49,4.233934884714798,7.761772134380597,4.0,7.458823000000005,22.25,3.9680938360000026,17.672526999999995,22.25,255.56241294699996,3.875,2.0033479999999995,22.25,2.091818344,0.840763,22.25390625,6.048107611999998
50,4.231553511138154,7.766005607015007,3.875,9.825214000000006,22.25390625,5.227013848000003,20.380719000000003,22.25390625,300.10608727500005,4.0,2.053599,22.25390625,2.070998272,0.8192240000000002,22.2578125,6.281959341
51,4.236383043259328,7.764234530353026,3.75,8.296419,22.2578125,4.413694908000001,18.946446,22.2578125,283.988279094,4.0,2.1943440000000005,22.2578125,2.2964185919999998,0.894244,22.26171875,6.800272056000002
52,4.238292083066955,7.769909380003463,3.875,7.471039000000001,22.26171875,3.9745927480000005,18.263425999999995,22.265625,278.5720367779999,3.875,2.21528,22.265625,2.3076314239999998,0.884828,22.26953125,6.95376392
53,4.241894934936058,7.764807694679273,3.75,7.9279139999999995,22.26953125,4.217650248,18.894761999999997,22.26953125,293.1900219539999,4.0,2.183643,22.26953125,2.5122714640000003,0.948743,22.2734375,6.941801097
54,4.242429923955808,7.761620832373412,4.0,7.995285999999999,22.27734375,4.253492152,19.143611999999997,22.27734375,302.10534097199996,4.0,2.0859600000000014,22.27734375,2.43628224,0.906355,22.28125,6.714705240000004
55,4.248740103165813,7.770547047183115,4.0,9.601716000000003,22.28125,5.108112912000002,20.957885000000005,22.28125,336.2692648250001,4.0,2.1080420000000006,22.28125,2.5129572160000007,0.9211720000000002,22.28515625,6.870108878000002
56,4.24715126113809,7.775561388464526,3.702819531114783,8.931752000000003,22.28515625,4.751692064000001,20.51288300000001,22.28515625,334.5446088470002,3.875,2.1396760000000006,22.28515625,2.5623348320000003,0.925699,22.2890625,7.058791124000002
57,4.246908724291127,7.783722180085963,4.0,9.437979,22.2890625,5.021004828000001,21.143523,22.29296875,350.41160667899993,3.875,2.4286110000000005,22.29296875,2.5795355040000003,0.9186380000000001,22.296875,8.109132129000002
